,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Romania","1576.30","1367.82","1188.40","1066.21","1035.37","1026.13","891.51","839.34","976.50","874.95","838.94","679.33","583.70","529.23","490.39","404.63","326.27","281.58","246.03"
"Russian Federation","1488.32","1389.35","1279.67","1286.67","1347.13","1323.03","1264.70","1156.38","1086.58","1168.12","1055.66","844.20","759.71","603.80","521.57","512.16","475.81","413.93","367.58"
"Rwanda","169.82","144.00","140.94","129.71","126.34","116.42","134.24","122.16","117.01","106.19","99.67","93.64","82.53","83.00","72.92","63.01","28.08","26.54","27.20"
"Saint Kitts and Nevis","1555.56","1553.06","1559.18","1387.02","1243.77","1367.35","1265.13","1307.06","1283.88","1317.60","1330.01","1085.01","1141.17","996.44","856.30","865.61","836.81","801.53","827.61"
"Saint Lucia","610.52","636.71","647.72","577.03","601.13","697.10","678.55","676.30","611.76","653.46","655.54","634.38","609.63","534.54","515.62","518.68","505.78","474.91","461.19"
"Saint Vincent and the Grenadines","549.61","507.45","477.60","456.81","476.69","486.10","482.22","445.06","446.31","434.49","415.31","389.99","354.86","335.43","320.70","308.44","290.08","268.72","258.53"
"Samoa","355.18","361.72","343.62","337.51","368.24","355.15","278.48","307.58","283.71","300.58","269.13","267.19","249.29","234.88","203.50","178.31","181.24","145.46","147.50"
"San Marino","4340.04","4262.76","3878.54","3514.30","3753.85","3849.02","3926.15","3863.50","3763.29","3869.12","3701.72","3329.73","3081.80","2776.27","2687.77","2596.63","2797.79","2994.23","2840.98"
"Sao Tome and Principe","213.92","213.72","204.84","164.70","201.68","223.29","174.17","176.47","171.63","171.41","168.75","180.91","177.87","225.89","216.08","220.04","174.80","173.77","163.96"
"Saudi Arabia","3519.91","3760.28","3160.48","3232.98","2747.36","2285.97","2029.59","1799.25","1623.25","1850.03","1335.33","1519.47","1517.45","1392.29","1380.41","1424.01","1382.21","1511.92","1450.50"
"Senegal","146.39","143.32","142.80","140.50","134.83","127.04","120.66","114.87","108.77","101.41","92.53","86.19","91.26","87.68","101.75","91.92","81.74","77.77","68.95"
"Serbia","1484.65","1348.96","1319.53","1312.51","1352.35","1359.01","1296.61","1249.85","1216.70","1169.43","1195.35","1050.26","864.64","759.03","664.36","584.74","548.12","421.31","371.84"
"Seychelles","1548.97","1441.36","1417.63","1198.03","1175.75","1059.97","1259.74","984.36","947.29","714.63","739.63","762.96","774.48","738.30","695.54","732.18","663.33","778.85","678.11"
"Sierra Leone","257.33","255.30","258.14","291.41","355.86","200.24","152.60","166.74","129.50","126.04","110.30","106.84","102.47","104.64","100.18","94.47","93.73","73.24","121.53"
"Singapore","4439.28","4193.91","3992.28","3683.10","3319.29","3024.13","2600.37","2364.64","2267.69","2145.80","2079.42","1854.93","1782.34","1693.12","1621.80","1665.74","1465.42","1316.22","1392.59"
"Slovakia","2179.54","2093.57","2110.42","2033.77","1999.39","2101.07","2035.45","1918.64","1949.17","1837.53","1651.43","1522.03","1294.23","1096.34","969.40","771.60","733.15","660.65","602.37"
"Slovenia","3158.39","2960.59","2815.52","2689.42","2625.70","2621.22","2533.16","2472.90","2385.06","2360.88","2338.10","2076.87","2013.60","1910.00","1806.00","1708.56","1624.02","1494.46","1405.85"
"Solomon Islands","107.63","110.62","113.53","116.12","126.93","117.57","118.98","138.45","189.41","149.59","120.22","148.82","151.47","155.00","115.16","100.36","129.88","88.81","66.85"
"South Africa","1129.38","1090.09","1067.60","1081.31","1038.13","989.54","968.18","913.12","869.68","812.20","763.75","722.90","693.25","656.91","622.32","595.55","572.34","595.66","574.11"
"South Sudan","113.78","147.86","","","","","","","","","","","","","","","","",""
"Spain","3576.49","3482.46","3275.60","3186.09","3045.47","2934.13","2901.81","2926.57","2894.39","2931.10","2805.50","2593.93","2423.78","2152.15","2018.15","1908.65","1673.40","1561.13","1471.31"
"Sri Lanka","516.92","497.98","481.73","461.57","405.54","404.82","344.41","340.31","322.12","368.30","337.79","312.34","289.00","264.51","253.46","213.11","228.05","218.71","221.71"
"Sudan","293.06","311.76","325.32","290.86","237.73","281.69","226.20","293.71","208.70","251.17","227.65","241.71","182.29","145.10","127.39","111.81","89.88","84.55","76.77"
"Suriname","1179.64","934.62","918.18","962.31","775.48","761.65","702.07","698.21","696.28","701.45","651.84","683.16","718.17","743.97","734.39","601.23","607.62","438.73","655.95"
"Sweden","5828.41","5635.54","5395.97","5331.36","5193.26","5073.27","4896.18","4665.50","3529.96","3550.62","3473.59","3277.72","3044.11","2795.52","2754.25","2647.45","2542.60","2368.42","2173.02"
"Switzerland","8113.94","7928.17","7573.46","7308.90","6846.43","6550.80","6175.03","5841.04","5480.76","5402.64","5165.48","4817.31","4443.45","4189.07","4118.70","3935.71","3839.39","3591.46","3361.20"
"Syrian Arab Republic","","","","","","","159.58","183.00","166.74","172.14","158.35","168.94","166.19","170.98","174.99","186.23","172.01","152.78","144.85"
"Tajikistan","249.75","232.12","210.55","196.95","184.20","168.88","143.84","131.59","120.12","116.30","113.97","99.47","82.90","79.83","68.09","59.99","50.57","46.61","40.68"
"Thailand","722.70","686.59","638.31","597.63","578.25","528.97","518.83","483.05","447.94","441.86","424.17","379.49","342.20","324.51","302.02","287.85","273.13","231.79","226.79"
"Timor-Leste","352.51","321.57","371.50","323.38","186.05","194.72","126.30","124.36","125.89","149.15","99.25","93.41","84.86","77.91","73.76","66.07","","",""
"Togo","109.36","101.49","107.25","97.93","95.66","90.07","83.53","77.14","71.78","57.73","49.91","48.31","44.32","40.52","37.08","34.41","32.52","32.91","32.54"
"Tonga","355.33","348.17","330.57","274.94","291.95","224.91","266.86","202.04","241.98","187.94","279.09","211.47","248.56","198.82","197.77","148.43","149.80","136.51","110.96"
"Trinidad and Tobago","2099.60","2186.64","2172.01","2040.00","1713.31","1651.36","1549.49","1483.39","1581.19","1645.12","1136.81","1232.90","1150.36","1056.83","944.59","832.17","810.39","634.06","628.55"
"Tunisia","912.25","874.34","821.71","812.39","780.16","756.49","703.09","652.15","601.78","559.58","520.42","496.02","453.27","423.15","404.02","373.92","347.24","322.84","303.97"
"Turkey","1170.78","1176.02","1135.84","1060.53","1041.95","980.80","923.22","921.26","880.64","857.19","844.34","784.16","706.75","587.46","538.58","485.84","475.92","453.79","442.95"
"Turkmenistan","1275.12","1250.32","1118.67","1008.40","832.61","706.99","595.56","549.02","486.59","430.97","501.89","389.60","550.22","552.95","530.89","400.27","317.03","364.88","292.47"
"Tuvalu","757.80","692.05","627.30","601.31","554.64","591.07","468.05","495.66","484.06","434.31","337.53","322.63","352.64","285.81","274.67","403.74","366.59","488.54","596.16"
"Uganda","139.33","132.29","131.42","132.28","133.40","132.95","141.04","170.31","175.49","157.18","181.56","171.87","159.88","135.98","106.19","91.36","89.27","76.04","67.39"
"Ukraine","682.51","616.95","596.94","591.28","596.97","602.99","605.47","565.57","523.02","480.93","467.61","487.17","466.11","412.98","375.37","343.80","279.65","247.10","210.97"
"United Arab Emirates","3172.61","3031.25","2463.60","2516.11","2412.05","2250.72","2019.54","2076.32","2103.44","2307.51","1951.58","1867.88","1859.65","1894.10","2096.36","2195.05","2170.46","2008.45","1943.60"
"United Kingdom of Great Britain and Northern Ireland","4619.57","4473.08","4310.55","4228.21","4125.12","4002.44","3863.46","3720.19","3645.01","3519.17","3373.20","3171.76","3035.11","2798.05","2720.83","2491.28","2337.69","2129.10","1927.10"
"United Republic of Tanzania","112.46","109.09","112.60","98.89","104.48","114.57","117.33","113.40","110.18","102.35","108.66","129.17","135.60","97.51","82.18","70.99","58.84","50.24","38.21"
"United States of America","10623.85","10209.63","9877.87","9491.09","9023.61","8599.53","8399.24","8130.76","7930.15","7681.25","7410.70","7172.17","6821.11","6454.68","6103.58","5741.30","5332.49","4914.94","4564.46"
"Uruguay","2169.29","2163.46","2056.43","1918.84","1847.82","1772.31","1659.13","1553.79","1444.54","1334.84","1302.54","1102.23","1043.00","975.32","942.08","1011.51","990.96","1070.27","1025.61"
"Uzbekistan","459.42","415.95","388.56","369.85","324.36","365.80","326.61","285.92","267.82","285.94","255.17","232.38","215.69","202.38","188.23","185.04","174.97","170.93","158.99"
"Vanuatu","108.67","86.24","85.71","122.86","103.61","122.82","110.35","101.66","97.50","91.06","86.51","81.61","84.29","76.88","77.75","74.00","79.57","73.53","74.45"
"Venezuela (Bolivarian Republic of)","383.51","783.46","754.35","990.71","1043.54","1041.11","1182.00","1243.05","1130.23","1270.33","1122.01","1287.56","1217.70","816.64","816.69","756.80","841.89","942.35","848.13"
"Viet Nam","440.17","406.34","360.22","338.58","324.65","332.81","310.73","273.86","259.12","215.67","199.43","198.36","179.67","155.53","145.97","118.15","107.55","126.02","99.33"
"Yemen","","","","140.59","195.88","202.64","204.47","184.88","230.76","252.70","239.04","235.08","216.51","197.38","197.53","198.79","162.50","162.02","148.20"
"Zambia","208.44","179.86","179.00","174.20","149.09","176.64","142.86","118.31","121.61","133.56","113.13","114.79","142.99","154.32","147.15","140.10","124.69","116.24","121.02"
"Zimbabwe","198.02","198.81","208.10","199.68","215.43","183.72","175.35","175.22","197.85","","","","","","","","","",""
